=== Training log started: 2026-08-04 12:15:15 ===

### Training FastDVDnet denoiser model ###
> Parameters:
	batch_size: 64
	epochs: 80
	resume_training: False
	milestone: [50, 60]
	lr: 0.001
	no_orthog: False
	save_every: 10
	save_every_epochs: 5
	patch_size: 96
	temp_patch_size: 5
	max_number_patches: 384000
	log_dir: logs/thermal_constant_nm
	train_noisy_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_data/noisy
	train_clean_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_data/clean
	val_noisy_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_val/thermal_val_noisy
	val_clean_dir: /mnt/data/users/smalayath/fastdvdnetFORK/thermal_val/thermal_val_clean


> Loading datasets ...
Preloading sequences:   0%|          | 0/10 [00:00<?, ?it/s][Preload] LOADED: seq_0  frames=207 dtype=uint16
Preloading sequences:  10%|#         | 1/10 [00:04<00:40,  4.49s/it][Preload] LOADED: seq_1  frames=427 dtype=uint16
Preloading sequences:  20%|##        | 2/10 [00:13<00:57,  7.13s/it][Preload] LOADED: seq_10  frames=101 dtype=uint16
Preloading sequences:  30%|###       | 3/10 [00:15<00:34,  4.94s/it][Preload] LOADED: seq_11  frames=139 dtype=uint16
Preloading sequences:  40%|####      | 4/10 [00:18<00:25,  4.19s/it][Preload] LOADED: seq_12  frames=83 dtype=uint16
Preloading sequences:  50%|#####     | 5/10 [00:20<00:16,  3.34s/it][Preload] LOADED: seq_3  frames=376 dtype=uint16
Preloading sequences:  60%|######    | 6/10 [00:28<00:19,  4.99s/it][Preload] LOADED: seq_4  frames=280 dtype=uint16
Preloading sequences:  70%|#######   | 7/10 [00:34<00:15,  5.22s/it][Preload] LOADED: seq_6  frames=251 dtype=uint16
Preloading sequences:  80%|########  | 8/10 [00:39<00:10,  5.28s/it][Preload] LOADED: seq_7  frames=178 dtype=uint16
Preloading sequences:  90%|######### | 9/10 [00:43<00:04,  4.76s/it][Preload] LOADED: seq_8  frames=127 dtype=uint16
Preloading sequences: 100%|##########| 10/10 [00:46<00:00,  4.12s/it]Preloading sequences: 100%|##########| 10/10 [00:46<00:00,  4.63s/it]
[Preload] Summary: loaded=10, skipped_no_files=0, skipped_no_common=0, skipped_errors=0
	# of training samples: 384000

[epoch 1][1/6000] loss: 29098.3281 PSNR_train: 0.0000
[epoch 1][11/6000] loss: 458.7926 PSNR_train: 0.0000
[epoch 1][21/6000] loss: 137.3673 PSNR_train: 0.0000
[epoch 1][31/6000] loss: 56.2754 PSNR_train: 0.0000
[epoch 1][41/6000] loss: 32.7527 PSNR_train: 0.0000
[epoch 1][51/6000] loss: 20.8015 PSNR_train: 0.0000
[epoch 1][61/6000] loss: 14.5132 PSNR_train: 0.0000
[epoch 1][71/6000] loss: 11.5362 PSNR_train: 0.0000
[epoch 1][81/6000] loss: 10.2829 PSNR_train: 0.0000
[epoch 1][91/6000] loss: 8.4069 PSNR_train: 0.0000
[epoch 1][101/6000] loss: 6.7869 PSNR_train: 0.0000
[epoch 1][111/6000] loss: 6.2111 PSNR_train: 0.0000
[epoch 1][121/6000] loss: 5.0717 PSNR_train: 0.0000
[epoch 1][131/6000] loss: 4.5616 PSNR_train: 0.0000
[epoch 1][141/6000] loss: 4.4107 PSNR_train: 0.0000
[epoch 1][151/6000] loss: 3.8840 PSNR_train: 0.0000
[epoch 1][161/6000] loss: 3.4924 PSNR_train: 0.0000
[epoch 1][171/6000] loss: 3.2033 PSNR_train: 0.0000
[epoch 1][181/6000] loss: 2.7038 PSNR_train: 0.0000
[epoch 1][191/6000] loss: 2.7389 PSNR_train: 0.0000
[epoch 1][201/6000] loss: 2.6455 PSNR_train: 0.0000
[epoch 1][211/6000] loss: 2.1874 PSNR_train: 0.0000
[epoch 1][221/6000] loss: 2.3762 PSNR_train: 0.0000
[epoch 1][231/6000] loss: 1.9948 PSNR_train: 0.0000
[epoch 1][241/6000] loss: 1.7008 PSNR_train: 0.0000
[epoch 1][251/6000] loss: 1.8952 PSNR_train: 0.0000
[epoch 1][261/6000] loss: 1.6672 PSNR_train: 0.0000
[epoch 1][271/6000] loss: 1.5818 PSNR_train: 0.0000
[epoch 1][281/6000] loss: 1.5362 PSNR_train: 0.0000
[epoch 1][291/6000] loss: 1.4255 PSNR_train: 0.0000
[epoch 1][301/6000] loss: 1.5170 PSNR_train: 0.0000
[epoch 1][311/6000] loss: 1.2814 PSNR_train: 0.0000
